Accession ID	Collection date	Submission date	Location
EPI_ISL_1461968	2021-03-12	2021-04-02	North America / USA / New Jersey
EPI_ISL_1462639	2021-03-16	2021-04-02	North America / USA / Florida
EPI_ISL_1462889	2021-03-16	2021-04-02	North America / USA / Georgia
EPI_ISL_1462897	2021-03-16	2021-04-02	North America / USA / Florida
EPI_ISL_1462950	2021-03-18	2021-04-02	North America / USA / Maryland
EPI_ISL_1470419	2021-03-09	2021-04-05	South America / Chile / Maule / Curico
EPI_ISL_1470428	2021-03-15	2021-04-05	South America / Chile / Tarapaca / Iquique
EPI_ISL_1470434	2021-03-15	2021-04-05	South America / Chile / Los Lagos / Puerto Montt
EPI_ISL_1470441	2021-03-17	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Melipilla
EPI_ISL_1470443	2021-03-18	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Santiago
EPI_ISL_1470444	2021-03-18	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Pudahuel
EPI_ISL_1470446	2021-03-17	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Lampa
EPI_ISL_1470447	2021-03-17	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Lampa
EPI_ISL_1470448	2021-03-22	2021-04-05	South America / Chile / Tarapaca / Iquique
EPI_ISL_1470453	2021-03-22	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Penalolen
EPI_ISL_1470458	2021-03-22	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Las Condes
EPI_ISL_1470459	2021-03-21	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Colina
EPI_ISL_1470460	2021-03-24	2021-04-05	South America / Chile / Maule / Talca
EPI_ISL_1470462	2021-03-24	2021-04-05	South America / Chile / Maule / Talca
EPI_ISL_1470468	2021-03-23	2021-04-05	South America / Chile / Maule / Maule
EPI_ISL_1470469	2021-03-24	2021-04-05	South America / Chile / Maule / Talca
EPI_ISL_1470470	2021-03-22	2021-04-05	South America / Chile / Ñuble / Chillan
EPI_ISL_1470471	2021-03-22	2021-04-05	South America / Chile / Ñuble / Chillan
EPI_ISL_1470472	2021-03-24	2021-04-05	South America / Chile / Ñuble / Chillan
EPI_ISL_1470474	2021-03-22	2021-04-05	South America / Chile / Ñuble / Chillan
EPI_ISL_1470492	2021-03-13	2021-04-05	South America / Chile / Region Metropolitana de Santiago / La Pintana
EPI_ISL_1470495	2021-03-13	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Puente Alto
EPI_ISL_1470500	2021-03-15	2021-04-05	South America / Chile / Region Metropolitana de Santiago / La Granja
EPI_ISL_1470502	2021-03-16	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Puente Alto
EPI_ISL_1470509	2021-03-18	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Puente Alto
EPI_ISL_1470510	2021-03-19	2021-04-05	South America / Chile / Region Metropolitana de Santiago / La Pintana
EPI_ISL_1470511	2021-03-19	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Puente Alto
EPI_ISL_1470514	2021-03-21	2021-04-05	South America / Chile / Region Metropolitana de Santiago / La Granja
EPI_ISL_1470518	2021-03-22	2021-04-05	South America / Chile / Region Metropolitana de Santiago / La Granja
EPI_ISL_1470519	2021-03-23	2021-04-05	South America / Chile / Region Metropolitana de Santiago / La Cisterna
EPI_ISL_1470527	2021-03-28	2021-04-05	South America / Chile / Biobio / Concepcion
EPI_ISL_1470530	2021-03-28	2021-04-05	South America / Chile / Maule / Teno
EPI_ISL_1470532	2021-03-28	2021-04-05	South America / Chile / Maule / Teno
EPI_ISL_1470533	2021-03-28	2021-04-05	South America / Chile / Maule / Curico
EPI_ISL_1470535	2021-03-28	2021-04-05	South America / Chile / Maule / Curico
EPI_ISL_1470536	2021-03-28	2021-04-05	South America / Chile / Maule / Molina
EPI_ISL_1470537	2021-03-28	2021-04-05	South America / Chile / Maule / Teno
EPI_ISL_1470538	2021-03-28	2021-04-05	South America / Chile / Maule / Teno
EPI_ISL_1470539	2021-03-28	2021-04-05	South America / Chile / Maule / Molina
EPI_ISL_1470547	2021-03-27	2021-04-05	South America / Chile / Los Rios / Paillaco
EPI_ISL_1470553	2021-03-29	2021-04-05	South America / Chile / Tarapaca / Iquique
EPI_ISL_1470555	2021-03-24	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Maipu
EPI_ISL_1470556	2021-03-23	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Pudahuel
EPI_ISL_1470559	2021-03-24	2021-04-05	South America / Chile / Region Metropolitana de Santiago / Quinta Normal
EPI_ISL_1470709	2021-03-24	2021-04-05	North America / USA / Connecticut
EPI_ISL_1471617	2021-03-28	2021-04-05	North America / USA / New York / New York City
